family_id,member_id,instrument_name,variant,size,key_or_scale,body_diameter_in,shell_height_in,soundboard_thickness_in,tongue_width_in,target_ding,target_ding_hz,helmholtz_hz,helmholtz_ratio,design_stage,validation_state,notes
WSTD-FAM-001,WSTD-V1-TRAVEL,Wood Shell Tongue Drum,V1 cylinder flat top,Travel 12in,D-centered family study,12.0,5.0,0.250,1.00,D4,293.66,321.53,1.09,packet defined,no measured prototype data,"Tight coupled edge; recommended after Standard is calibrated."
WSTD-FAM-001,WSTD-V1-STANDARD,Wood Shell Tongue Drum,V1 cylinder flat top,Standard 16in,A Kurd 11-note,16.0,8.0,0.375,1.25,A3,220.00,194.60,0.88,recommended first prototype,no measured prototype data,"Best first build: coupled regime, 11 tongues fit with margin, lowest piece count."
WSTD-FAM-001,WSTD-V1-FLOOR,Wood Shell Tongue Drum,V1 cylinder flat top,Floor Pouf 20in,D-centered low-register study,20.0,10.0,0.500,1.50,D3,146.83,144.69,0.99,packet defined,no measured prototype data,"Coupled, but ding length overhangs current radial cap; needs Cedar, thinner top, or raised ding."
WSTD-FAM-001,WSTD-V2-TRAVEL,Wood Shell Tongue Drum,V2 cylinder domed top,Travel 12in,D-centered family study,12.0,5.0,0.250,1.00,D4,293.66,220.10,0.75,packet defined,no measured prototype data,"Domed top uses a +2.5% starting multiplier; cavity is under-coupled at current port preset."
WSTD-FAM-001,WSTD-V2-STANDARD,Wood Shell Tongue Drum,V2 cylinder domed top,Standard 16in,A Kurd 11-note,16.0,8.0,0.375,1.25,A3,220.00,133.48,0.61,packet defined,no measured prototype data,"Needs larger effective port, shorter neck, or revised dome cavity model to reach coupled band."
WSTD-FAM-001,WSTD-V2-FLOOR,Wood Shell Tongue Drum,V2 cylinder domed top,Floor Pouf 20in,D-centered low-register study,20.0,10.0,0.500,1.50,D3,146.83,99.10,0.67,packet defined,no measured prototype data,"Under-coupled and longest tongue currently exceeds radial cap; defer until V1/V2 calibration exists."
WSTD-FAM-001,WSTD-V3-TRAVEL,Wood Shell Tongue Drum,V3 hemisphere flat top,Travel 12in,D-centered family study,12.0,5.0,0.250,1.00,D4,293.66,359.50,1.22,packet defined,no measured prototype data,"Cavity sits slightly high; likely needs restrictor, longer effective neck, or revised bowl volume."
WSTD-FAM-001,WSTD-V3-STANDARD,Wood Shell Tongue Drum,V3 hemisphere flat top,Standard 16in,A Kurd 11-note,16.0,8.0,0.375,1.25,A3,220.00,238.30,1.08,packet defined,no measured prototype data,"Coupled and attractive second-phase build once hemisphere workflow is ready."
WSTD-FAM-001,WSTD-V3-FLOOR,Wood Shell Tongue Drum,V3 hemisphere flat top,Floor Pouf 20in,D-centered low-register study,20.0,10.0,0.500,1.50,D3,146.83,177.20,1.21,packet defined,no measured prototype data,"Just over the coupled ceiling; revise port or volume before cutting premium stock."
WSTD-FAM-001,WSTD-V4-TRAVEL,Wood Shell Tongue Drum,V4 hemisphere domed top,Travel 12in,D-centered family study,12.0,5.0,0.250,1.00,D4,293.66,244.20,0.83,packet defined,no measured prototype data,"Inside band on paper, but still depends on unmeasured dome correction."
WSTD-FAM-001,WSTD-V4-STANDARD,Wood Shell Tongue Drum,V4 hemisphere domed top,Standard 16in,A Kurd 11-note,16.0,8.0,0.375,1.25,A3,220.00,161.12,0.73,packet defined,no measured prototype data,"Combines bowl and dome uncertainties; wait for V2 multiplier and V3 bowl lessons."
WSTD-FAM-001,WSTD-V4-FLOOR,Wood Shell Tongue Drum,V4 hemisphere domed top,Floor Pouf 20in,D-centered low-register study,20.0,10.0,0.500,1.50,D3,146.83,119.50,0.81,packet defined,no measured prototype data,"Near the lower coupled edge, but radial fit and dome calibration remain open risks."
